      Date : 30.Aug.2019                                Time : 9:50:25 AM

                            Input Data : PV
                            Controller : P&D Control
                            Set Point  : 15.00
                                    kp : 03.00
                                    kd : 0.01

     TIME (Sec)        PV (CM)     PV (Volts)      CP (in %)     Error(in%)     
          81.85          12.45           2.49          80.28           10.2
          81.98          12.45           2.49          80.28           10.2
          82.10          12.45           2.49          80.28           10.2
          82.23          12.45           2.49          80.28           10.2
          82.35          12.45           2.49          80.28           10.2
          82.48          12.45           2.49          80.28           10.2
          82.60          12.45           2.49          80.28           10.2
          82.73          12.45           2.49          80.28           10.2
          82.85          12.45           2.49          80.28           10.2
          82.98          12.45           2.49          80.28           10.2
          83.10          12.45           2.49          80.28           10.2
          83.23          12.45           2.49          80.28           10.2
          83.35          12.45           2.49          80.28           10.2
          83.47          12.45           2.49          80.28           10.2
          83.60          12.45           2.49          80.28           10.2
          83.72          12.45           2.49          80.28           10.2
          83.85          12.45           2.49          80.28           10.2
          83.97          12.45           2.49          80.28           10.2
          84.10          12.45           2.49          80.28           10.2
          84.22          12.45           2.49          80.28           10.2
          84.35          12.45           2.49          80.28           10.2
          84.47          12.45           2.49          80.28           10.2
          84.60          12.45           2.49          80.28           10.2
          84.72          12.45           2.49          80.28           10.2
          84.85          12.45           2.49          80.28           10.2
          84.97          12.45           2.49          80.28           10.2
          85.10          12.45           2.49          80.28           10.2
          85.22          12.45           2.49          80.28           10.2
          85.35          12.45           2.49          80.28           10.2
          85.47          12.45           2.49          80.28           10.2
          85.60          12.45           2.49          80.28           10.2
          85.72          12.45           2.49          80.28           10.2
          85.84          12.45           2.49          80.28           10.2
          85.97          12.45           2.49          80.28           10.2
          86.09          12.45           2.49          80.28           10.2
          86.22          12.45           2.49          80.28           10.2
          86.34          12.45           2.49          80.28           10.2
          86.47          12.45           2.49          80.28           10.2
          86.59          12.45           2.49          80.28           10.2
          86.72          12.45           2.49          80.28           10.2
          86.84          12.45           2.49          80.28           10.2
          86.97          12.45           2.49          80.28           10.2
          87.09          12.45           2.49          80.28           10.2
          87.22          12.45           2.49          80.28           10.2
          87.34          12.45           2.49          80.28           10.2
          87.47          12.45           2.49          80.28           10.2
          87.59          12.45           2.49          80.28           10.2
          87.72          12.45           2.49          80.28           10.2
          87.84          12.45           2.49          80.28           10.2
          87.97          12.45           2.49          80.28           10.2
          88.09          12.45           2.49          80.28           10.2
          88.22          12.45           2.49          80.28           10.2
          88.34          12.45           2.49          80.28           10.2
          88.46          12.45           2.49          80.28           10.2
          88.59          12.45           2.49          80.28           10.2
          88.71          12.45           2.49          80.28           10.2
          88.84          12.45           2.49          80.28           10.2
          88.98          12.45           2.49          80.28           10.2
          89.11          12.45           2.49          80.28           10.2
          89.23          12.45           2.49          80.28           10.2
          89.36          12.45           2.49          80.28           10.2
          89.48          12.45           2.49          80.28           10.2
          89.61          12.45           2.49          80.28           10.2
